indikator,satuan,jenis_tanaman,tahun,nilai,kategori_nilai
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1969,0,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1970,18693649,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1970,1622347,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1970,17071302,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1970,2825215,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1970,40214,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Tanah",1970,281309,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kedelai",1970,497883,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Jalar",1970,2175317,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Ubi Kayu",1970,10478308,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi",1971,20483687,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Ladang",1971,1594469,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Padi Sawah",1971,18589218,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Jagung",1971,2606494,"Angka Tetap"
"Produksi - bersumber Kementerian Pertanian","Ton","Kacang Hijau",1971,52900,"Angka Tetap"
