nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2000,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2000,
"Aneka Tambang Tbk, PT","Gold","kg",2000,206
"Aneka Tambang Tbk, PT","Silver","kg",2000,11332
"Aneka Tambang Tbk, PT","Bauxite","mt",2000,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2000,403101
"Timah Tbk, PT","Tin metal","ton",2000,2142
"Freeport Indonesia, PT","Copper","ton",2000,188876
"Freeport Indonesia, PT","Gold","kg",2000,16953
"Freeport Indonesia, PT","Silver","kg",2000,25376
"Koba Tin, PT","Tin metal","ton",2000,
"International Nickel Ind, PT","Nickel","ton",2000,
"Gunung Kikara Mining, PT","Tin metal","ton",2000,
"Karimun Granite, PT","Granite","ton",2000,1605626
"Lusang Mining, PT","Gold","kg",2000,
"Lusang Mining, PT","Silver","kg",2000,
"Ampalit Mas Perdana, PT","Gold","kg",2000,
"Ampalit Mas Perdana, PT","Silver","kg",2000,
"Monterado Mas Mining, PT","Gold","kg",2000,
"Monterado Mas Mining, PT","Silver","kg",2000,
"Prima Lirang Mining, PT","Gold","kg",2000,
"Prima Lirang Mining, PT","Silver","kg",2000,
"Kelian Equatorial Mining, PT","Gold","kg",2000,
"Kelian Equatorial Mining, PT","Silver","kg",2000,
"Indo Muro Kencana, PT","Gold","kg",2000,
"Indo Muro Kencana, PT","Silver","kg",2000,
"Newmont Minahasa Raya, PT","Gold","kg",2000,
"Newmont Minahasa Raya, PT","Silver","kg",2000,
"Barisan Tropical Mining, PT","Gold","kg",2000,
"Barisan Tropical Mining, PT","Silver","kg",2000,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2000,
"Newmont Nusa Tenggara, PT","Copper","ton",2000,
"Newmont Nusa Tenggara, PT","Gold","kg",2000,
"Newmont Nusa Tenggara, PT","Silver","kg",2000,
"Nusa Halmahera Minerals, PT","Gold","kg",2000,
"Nusa Halmahera Minerals, PT","Silver","kg",2000,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2000,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2000,
"Galuh Cempaka, PT","Diamond","crt",2000,
"Galuh Cempaka, PT","Gold","kg",2000,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2001,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2001,9
"Aneka Tambang Tbk, PT","Gold","kg",2001,2155
"Aneka Tambang Tbk, PT","Silver","kg",2001,27590
"Aneka Tambang Tbk, PT","Bauxite","mt",2001,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2001,439327
"Timah Tbk, PT","Tin metal","ton",2001,1940
"Freeport Indonesia, PT","Copper","ton",2001,198447
"Freeport Indonesia, PT","Gold","kg",2001,27938
"Freeport Indonesia, PT","Silver","kg",2001,30235
"Koba Tin, PT","Tin metal","ton",2001,
"International Nickel Ind, PT","Nickel","ton",2001,
"Gunung Kikara Mining, PT","Tin metal","ton",2001,
"Karimun Granite, PT","Granite","ton",2001,271527
"Lusang Mining, PT","Gold","kg",2001,
"Lusang Mining, PT","Silver","kg",2001,
"Ampalit Mas Perdana, PT","Gold","kg",2001,
"Ampalit Mas Perdana, PT","Silver","kg",2001,
"Monterado Mas Mining, PT","Gold","kg",2001,
"Monterado Mas Mining, PT","Silver","kg",2001,
"Prima Lirang Mining, PT","Gold","kg",2001,
"Prima Lirang Mining, PT","Silver","kg",2001,
"Kelian Equatorial Mining, PT","Gold","kg",2001,
"Kelian Equatorial Mining, PT","Silver","kg",2001,5900
"Indo Muro Kencana, PT","Gold","kg",2001,
"Indo Muro Kencana, PT","Silver","kg",2001,
"Newmont Minahasa Raya, PT","Gold","kg",2001,
"Newmont Minahasa Raya, PT","Silver","kg",2001,
"Barisan Tropical Mining, PT","Gold","kg",2001,
"Barisan Tropical Mining, PT","Silver","kg",2001,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2001,
"Newmont Nusa Tenggara, PT","Copper","ton",2001,
"Newmont Nusa Tenggara, PT","Gold","kg",2001,
"Newmont Nusa Tenggara, PT","Silver","kg",2001,
"Nusa Halmahera Minerals, PT","Gold","kg",2001,
"Nusa Halmahera Minerals, PT","Silver","kg",2001,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2001,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2001,
"Galuh Cempaka, PT","Diamond","crt",2001,
"Galuh Cempaka, PT","Gold","kg",2001,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2002,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2002,4
"Aneka Tambang Tbk, PT","Gold","kg",2002,1977
"Aneka Tambang Tbk, PT","Silver","kg",2002,42822
"Aneka Tambang Tbk, PT","Bauxite","mt",2002,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2002,340459
"Timah Tbk, PT","Tin metal","ton",2002,
"Freeport Indonesia, PT","Copper","ton",2002,217407
"Freeport Indonesia, PT","Gold","kg",2002,22487
"Freeport Indonesia, PT","Silver","kg",2002,34014
"Koba Tin, PT","Tin metal","ton",2002,
"International Nickel Ind, PT","Nickel","ton",2002,
"Gunung Kikara Mining, PT","Tin metal","ton",2002,
"Karimun Granite, PT","Granite","ton",2002,49454
"Lusang Mining, PT","Gold","kg",2002,
"Lusang Mining, PT","Silver","kg",2002,
"Ampalit Mas Perdana, PT","Gold","kg",2002,
"Ampalit Mas Perdana, PT","Silver","kg",2002,
"Monterado Mas Mining, PT","Gold","kg",2002,
"Monterado Mas Mining, PT","Silver","kg",2002,
"Prima Lirang Mining, PT","Gold","kg",2002,
"Prima Lirang Mining, PT","Silver","kg",2002,
"Kelian Equatorial Mining, PT","Gold","kg",2002,
"Kelian Equatorial Mining, PT","Silver","kg",2002,
"Indo Muro Kencana, PT","Gold","kg",2002,
"Indo Muro Kencana, PT","Silver","kg",2002,
"Newmont Minahasa Raya, PT","Gold","kg",2002,
"Newmont Minahasa Raya, PT","Silver","kg",2002,
"Barisan Tropical Mining, PT","Gold","kg",2002,
"Barisan Tropical Mining, PT","Silver","kg",2002,
"Newmont Nusa Tenggara, PT","Copper conct.","dmt",2002,
"Newmont Nusa Tenggara, PT","Copper","ton",2002,
"Newmont Nusa Tenggara, PT","Gold","kg",2002,
"Newmont Nusa Tenggara, PT","Silver","kg",2002,
"Nusa Halmahera Minerals, PT","Gold","kg",2002,
"Nusa Halmahera Minerals, PT","Silver","kg",2002,
"Avocet Bolaang Mongondouw, PT","Gold","kg",2002,
"Avocet Bolaang Mongondouw, PT","Silver","kg",2002,
"Galuh Cempaka, PT","Diamond","crt",2002,
"Galuh Cempaka, PT","Gold","kg",2002,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2003,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2003,
"Aneka Tambang Tbk, PT","Gold","kg",2003,2455
"Aneka Tambang Tbk, PT","Silver","kg",2003,7212
"Aneka Tambang Tbk, PT","Bauxite","mt",2003,
"Aneka Tambang Tbk, PT","Iron sand","wmt",2003,108555
"Timah Tbk, PT","Tin metal","ton",2003,2362
"Freeport Indonesia, PT","Copper","ton",2003,125381
"Freeport Indonesia, PT","Gold","kg",2003,15328
